,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Ugoofaaru,MV,81.88,moderate rain,5.6667,73.0,Ungoofaaru Inn
5,Hithadhoo,MV,82.96,scattered clouds,-0.6,73.0833,Scoop Guest House
6,Moyale,KE,76.98,overcast clouds,3.5167,39.0584,La Tahzan Guest House
7,Guarapari,BR,87.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
9,Bandarbeyla,SO,79.92,scattered clouds,9.4942,50.8122,JABIR HOTEL
16,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,NaN
25,Gizo,SB,82.15,overcast clouds,-8.103,156.8419,Imagination Island
29,Itanhaem,BR,86.25,overcast clouds,-24.1831,-46.7889,Prainha Residência Artística
37,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Morgan City,US,82.99,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
53,Vila Franca Do Campo,PT,79.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
55,Porto Belo,BR,75.18,light rain,-27.1578,-48.5531,Costa Verde Beach Hotel
59,Panambi,BR,79.43,overcast clouds,-28.2925,-53.5017,Hotel Lages Panambi
60,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
63,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
69,Jalingo,NG,79.11,overcast clouds,8.8833,11.3667,Debright Motel
70,Saint George,US,77.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
76,Cabo San Lucas,MX,80.15,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Lorengau,PG,79.65,few clouds,-2.0226,147.2712,NaN
83,Chabahar,IR,81.48,overcast clouds,25.2919,60.643,هتل گدروشیا
85,Naze,JP,77.14,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
86,Anloga,GH,86.22,few clouds,5.7947,0.8973,Pin Drop Hotel
87,Ilebo,CD,77.7,light rain,-4.3167,20.5833,Hôtel BUMAK
89,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
92,Nacala,MZ,76.87,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
93,Diu,IN,79.86,broken clouds,20.7141,70.9822,NaN
100,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
103,San Jose,US,76.84,clear sky,37.3394,-121.895,The Westin San Jose
104,Sao Francisco Do Conde,BR,82.42,clear sky,-12.6275,-38.68,Fazenda Engenho D’Água
105,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
106,Longview,US,82.0,broken clouds,32.5007,-94.7405,Homewood Suites by Hilton Longview
109,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
111,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
114,Jalu,LY,79.32,clear sky,29.0331,21.5482,صاحبة الفخامة
115,Nong Chik,TH,80.2,moderate rain,6.8436,101.178,Bakkahland Farm and Resort
118,Eenhana,,87.55,clear sky,-17.4667,16.3333,Hotel Litu
121,Maihar,IN,82.0,overcast clouds,24.2667,80.75,Mrig Van Resort
122,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
123,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
126,Thinadhoo,MV,83.19,scattered clouds,0.5333,72.9333,NaN
128,Nanzhang,CN,76.3,light rain,31.7765,111.8386,Longmenkezhan
130,Guerrero Negro,MX,75.79,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
133,Moerai,PF,75.58,light rain,-22.4333,-151.3333,Le Manotel
136,Harper,LR,79.5,overcast clouds,4.375,-7.7169,Screensaver
137,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
138,Itarema,BR,86.95,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
139,Carutapera,BR,88.07,few clouds,-1.195,-46.02,Lidera
142,Lubao,PH,82.42,overcast clouds,14.9167,120.55,Hacienda Gracia
150,Honiara,SB,77.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
156,La Asuncion,VE,87.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
159,Lompoc,US,86.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
160,Sao Filipe,CV,80.13,scattered clouds,14.8961,-24.4956,Hotel Xaguate
166,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
168,Pinotepa Nacional,MX,87.3,few clouds,16.3167,-98.0167,Hotel Maria Del Carmen
169,Dickinson,US,80.82,heavy intensity rain,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
171,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
174,Japura,ID,75.07,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
175,Sitio Novo Do Tocantins,BR,76.93,overcast clouds,-5.5183,-47.4611,Imperial Hotel
177,Sabalgarh,IN,81.32,clear sky,26.25,77.4,Kailadevi studio
181,Laohekou,CN,76.68,light rain,32.3858,111.6678,Laohekou Hotel
185,Igunga,TZ,85.55,broken clouds,-4.2833,33.8833,Victoria Lodge
189,Dakar,SN,87.93,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
191,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
195,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
196,Wewak,PG,79.07,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
197,Abu Samrah,SY,79.95,clear sky,35.3029,37.1841,NaN
199,Sinnamary,GF,85.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
202,San Quintin,MX,79.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
206,Muscat,OM,86.02,overcast clouds,23.6139,58.5922,Mutrah Hotel
208,Galveston,US,82.18,moderate rain,29.3669,-94.9669,Comfort Inn & Suites Texas City
211,Noumea,NC,75.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
216,Sun City West,US,84.85,clear sky,33.662,-112.3413,NaN
217,Hillsborough,US,79.84,clear sky,37.5741,-122.3794,Hyatt Regency San Francisco Airport
218,Hambantota,LK,79.92,few clouds,6.1241,81.1185,Bungalow 63
219,Makakilo City,US,75.52,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
220,Dingle,PH,76.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
221,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
223,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
225,Poso,ID,77.54,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
228,Daru,PG,77.18,overcast clouds,-9.0763,143.2092,Daru Lodge
229,Perbaungan,ID,82.51,overcast clouds,3.5679,98.956,Bendang Lama
232,Matara,LK,77.61,few clouds,5.9485,80.5353,Amaloh Boutique Resort
234,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
236,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
240,Hamilton,US,77.4,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
242,Chongwe,ZM,79.05,broken clouds,-15.3292,28.682,Grakas Lodge
252,Mlandizi,TZ,79.05,overcast clouds,-6.7,38.7333,Amazon Lodge..
253,Meulaboh,ID,76.8,overcast clouds,4.1363,96.1285,Kost Pria
255,Sawakin,SD,85.91,scattered clouds,19.1059,37.3321,فندق الدويم
257,Awjilah,LY,79.14,clear sky,29.1081,21.2869,NaN
263,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
273,Palmerston,AU,80.58,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
278,Iberia,US,80.96,scattered clouds,29.9502,-91.7507,back to back rv park
