City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
2,2,Puerto Ayora,EC,2021-10-02 04:18:57,-0.7393,-90.3518,68.7,93,71,6.89,broken clouds
5,5,Jasper,US,2021-10-02 04:18:49,37.2001,-94.3502,71.65,87,75,5.75,broken clouds
6,6,Vaini,TO,2021-10-02 04:15:44,-21.2,-175.2,75.36,83,75,12.66,broken clouds
13,13,Richards Bay,ZA,2021-10-02 04:19:01,-28.783,32.0377,67.82,92,100,4.29,light rain
15,15,Acapulco,MX,2021-10-02 04:12:37,16.8634,-99.8901,79.38,84,87,3.42,overcast clouds
16,16,Mujiayingzi,CN,2021-10-02 04:19:02,42.1167,118.7833,64.54,50,100,13.91,overcast clouds
19,19,Busselton,AU,2021-10-02 04:15:30,-33.65,115.3333,61.05,64,71,19.39,broken clouds
20,20,Sao Filipe,CV,2021-10-02 04:15:34,14.8961,-24.4956,78.76,78,19,5.41,few clouds
22,22,Ballina,AU,2021-10-02 04:19:04,-28.8667,153.5667,79.79,42,50,9.19,scattered clouds
27,27,Ribeira Grande,PT,2021-10-02 04:09:38,38.5167,-28.7,71.62,90,31,11.21,scattered clouds
28,28,Falam,MM,2021-10-02 04:19:07,22.9167,93.6833,71.01,86,69,1.79,broken clouds
33,33,Guerrero Negro,MX,2021-10-02 04:15:04,27.9769,-114.0611,71.98,78,0,11.39,clear sky
34,34,Bambous Virieux,MU,2021-10-02 04:19:10,-20.3428,57.7575,76.21,69,40,12.66,scattered clouds
35,35,Harper,LR,2021-10-02 04:19:10,4.375,-7.7169,76.78,88,99,6.87,light rain
40,40,Perpignan,FR,2021-10-02 04:18:18,42.75,2.75,63.01,84,0,3.44,clear sky
43,43,Port-Gentil,GA,2021-10-02 04:16:39,-0.7193,8.7815,77.43,84,100,9.91,overcast clouds
44,44,Mahebourg,MU,2021-10-02 04:15:32,-20.4081,57.7,75.49,69,40,12.66,scattered clouds
46,46,Jalu,LY,2021-10-02 04:19:13,29.0331,21.5482,67.59,62,0,8.25,clear sky
49,49,Riyadh,SA,2021-10-02 04:18:42,24.6877,46.7219,77.14,17,95,2.19,overcast clouds
50,50,Puerto Madryn,AR,2021-10-02 04:19:15,-42.7692,-65.0385,60.8,36,100,18.5,overcast clouds
52,52,Constantine,DZ,2021-10-02 04:19:16,36.365,6.6147,63.81,94,40,0.0,scattered clouds
55,55,Muswellbrook,AU,2021-10-02 04:19:17,-32.2667,150.9,76.33,54,72,11.86,broken clouds
61,61,Kutum,SD,2021-10-02 04:19:21,14.2,24.6667,73.06,25,0,6.31,clear sky
68,68,Traverse City,US,2021-10-02 04:19:24,44.7631,-85.6206,66.61,70,1,5.75,clear sky
74,74,Mogadishu,SO,2021-10-02 04:19:27,2.0371,45.3438,78.4,83,55,14.12,broken clouds
76,76,Goderich,CA,2021-10-02 04:18:49,43.7501,-81.7165,62.92,82,100,9.22,overcast clouds
81,81,Mount Gambier,AU,2021-10-02 04:19:30,-37.8333,140.7667,62.51,65,98,3.74,overcast clouds
83,83,Ponta Do Sol,PT,2021-10-02 04:09:32,32.6667,-17.1,71.71,76,1,3.85,clear sky
88,88,Mapiripan,CO,2021-10-02 04:19:33,2.8892,-72.1256,73.33,93,100,2.68,overcast clouds
89,89,Avarua,CK,2021-10-02 04:09:50,-21.2078,-159.775,78.85,73,75,10.36,broken clouds
90,90,Vaitape,PF,2021-10-02 04:19:34,-16.5167,-151.75,79.11,74,7,17.6,clear sky
91,91,Kaitangata,NZ,2021-10-02 04:19:35,-46.2817,169.8464,60.93,51,98,8.05,overcast clouds
93,93,San-Pedro,CI,2021-10-02 04:19:36,4.7485,-6.6363,75.38,92,70,2.24,broken clouds
97,97,Gamba,GA,2021-10-02 04:19:38,-2.65,10.0,74.5,88,99,2.19,overcast clouds
98,98,Umred,IN,2021-10-02 04:19:39,20.85,79.3333,73.69,75,81,4.43,heavy intensity rain
101,101,Conceicao Da Barra,BR,2021-10-02 04:19:42,-18.5933,-39.7322,73.08,83,1,8.46,clear sky
102,102,Ariquemes,BR,2021-10-02 04:16:03,-9.9133,-63.0408,76.35,74,16,1.25,few clouds
106,106,Esperance,AU,2021-10-02 04:09:44,-33.8667,121.9,61.03,60,30,26.04,scattered clouds
107,107,Atuona,PF,2021-10-02 04:15:16,-9.8,-139.0333,78.28,73,87,20.85,overcast clouds
109,109,Lagoa,PT,2021-10-02 04:09:54,39.05,-27.9833,70.41,91,8,15.43,clear sky
112,112,Callaway,US,2021-10-02 04:19:46,30.153,-85.5699,73.33,84,1,3.44,clear sky
115,115,Saint-Philippe,RE,2021-10-02 04:09:52,-21.3585,55.7679,74.75,72,35,12.26,scattered clouds
117,117,Farafangana,MG,2021-10-02 04:19:49,-22.8167,47.8333,71.04,82,4,11.14,clear sky
119,119,San Cristobal,VE,2021-10-02 04:19:50,7.7669,-72.225,69.98,91,7,1.79,clear sky
122,122,Tonj,SS,2021-10-02 04:19:51,7.2737,28.6822,70.93,91,97,3.74,overcast clouds
127,127,Santa Fe,AR,2021-10-02 04:17:22,-31.6333,-60.7,61.02,63,0,1.01,clear sky
128,128,Lompoc,US,2021-10-02 04:15:01,34.6391,-120.4579,65.1,97,90,0.0,fog
135,135,Lucapa,AO,2021-10-02 04:19:57,-8.4192,20.7447,65.62,95,100,2.39,overcast clouds
136,136,Cidreira,BR,2021-10-02 04:19:58,-30.1811,-50.2056,60.21,91,29,7.63,scattered clouds
137,137,Faanui,PF,2021-10-02 04:15:41,-16.4833,-151.75,79.12,74,7,17.67,clear sky
139,139,San Patricio,US,2021-10-02 04:19:59,28.017,-97.5169,78.89,80,63,7.0,broken clouds
142,142,Urucui,BR,2021-10-02 04:20:01,-7.2294,-44.5561,74.91,71,39,2.19,scattered clouds
143,143,Havelock,US,2021-10-02 04:19:25,34.8791,-76.9013,69.93,90,13,5.68,few clouds
144,144,Utete,TZ,2021-10-02 04:20:02,-7.986,38.758,70.5,87,18,1.07,few clouds
145,145,East Millcreek,US,2021-10-02 04:20:04,40.7,-111.8105,61.21,50,75,1.01,broken clouds
148,148,Rikitea,PF,2021-10-02 04:15:27,-23.1203,-134.9692,73.2,68,22,21.52,few clouds
149,149,Chilpancingo,MX,2021-10-02 04:15:06,17.55,-99.5,65.71,97,100,3.89,overcast clouds
152,152,Seoul,KR,2021-10-02 04:16:50,37.5683,126.9778,79.99,53,40,3.44,scattered clouds
154,154,Trindade,BR,2021-10-02 04:19:10,-16.6494,-49.4889,69.55,58,47,4.68,scattered clouds
155,155,Hobart,AU,2021-10-02 04:20:07,-42.8794,147.3294,60.06,89,75,5.01,broken clouds
160,160,Bandrele,YT,2021-10-02 04:20:09,-12.9067,45.1914,74.95,88,0,3.44,clear sky
162,162,Iquitos,PE,2021-10-02 04:20:10,-3.7481,-73.2472,77.04,94,75,3.44,broken clouds
163,163,Salinas,US,2021-10-02 04:20:11,36.6777,-121.6555,72.52,81,40,10.36,scattered clouds
166,166,Carnarvon,AU,2021-10-02 04:20:12,-24.8667,113.6333,71.67,37,11,16.11,few clouds
169,169,Hualmay,PE,2021-10-02 04:20:14,-11.0964,-77.6139,62.15,85,21,10.16,few clouds
171,171,New Richmond,US,2021-10-02 04:20:15,45.123,-92.5366,69.26,88,75,0.0,broken clouds
172,172,Bud,US,2021-10-02 04:20:16,39.447,-86.1758,65.34,82,48,6.87,scattered clouds
174,174,Malakal,SS,2021-10-02 04:20:17,9.5334,31.6605,72.68,87,96,3.24,overcast clouds
180,180,Vao,NC,2021-10-02 04:20:20,-22.6667,167.4833,71.06,90,100,25.43,light rain
182,182,Sechura,PE,2021-10-02 04:20:21,-5.5569,-80.8222,63.77,88,9,11.43,clear sky
192,192,Sao Joao Da Barra,BR,2021-10-02 04:17:27,-21.6403,-41.0511,72.86,93,99,8.59,overcast clouds
193,193,Zhuanghe,CN,2021-10-02 04:20:26,39.7008,122.9911,67.8,41,3,5.79,clear sky
195,195,Arraial Do Cabo,BR,2021-10-02 04:16:40,-22.9661,-42.0278,69.64,96,82,13.13,light rain
200,200,Martapura,ID,2021-10-02 04:20:29,-3.4167,114.85,78.89,89,40,6.91,scattered clouds
201,201,Faya,SA,2021-10-02 04:20:30,18.3851,42.4509,63.12,40,56,4.07,broken clouds
202,202,Pisco,PE,2021-10-02 04:20:31,-13.7,-76.2167,61.02,82,0,3.44,clear sky
206,206,Saint George,US,2021-10-02 04:16:06,37.1041,-113.5841,72.36,25,1,1.99,clear sky
208,208,Beira,MZ,2021-10-02 04:20:34,-19.8436,34.8389,68.09,100,20,4.61,few clouds
209,209,Santander Jimenez,MX,2021-10-02 04:20:34,24.2167,-98.4667,76.82,92,94,7.65,overcast clouds
210,210,Ahipara,NZ,2021-10-02 04:20:35,-35.1667,173.1667,61.38,60,1,1.3,clear sky
212,212,Murray Bridge,AU,2021-10-02 04:20:36,-35.1167,139.2667,73.44,42,11,2.86,few clouds
213,213,Saint-Pierre,RE,2021-10-02 04:20:36,-21.3393,55.4781,76.64,59,0,4.61,clear sky
220,220,Darnah,LY,2021-10-02 04:20:40,32.767,22.6367,70.86,64,19,22.75,few clouds
222,222,Colonelganj,IN,2021-10-02 04:20:41,27.1333,81.7,78.13,83,88,5.53,overcast clouds
225,225,Contamana,PE,2021-10-02 04:15:43,-7.3333,-75.0167,74.1,82,6,2.37,clear sky
236,236,Flinders,AU,2021-10-02 04:20:47,-34.5833,150.8552,66.38,77,69,4.52,light rain
237,237,San Luis,AR,2021-10-02 04:19:29,-33.295,-66.3356,63.1,23,0,22.37,clear sky
243,243,Griffith,US,2021-10-02 04:17:19,41.5284,-87.4237,75.13,64,1,1.01,clear sky
245,245,Triunfo,BR,2021-10-02 04:20:50,-29.9433,-51.7181,66.15,98,70,4.0,broken clouds
246,246,Nemuro,JP,2021-10-02 04:20:51,43.3236,145.575,64.83,90,100,23.49,overcast clouds
248,248,Two Rivers,US,2021-10-02 04:20:12,44.1539,-87.5693,68.27,97,1,1.01,mist
249,249,Praia Da Vitoria,PT,2021-10-02 04:18:25,38.7333,-27.0667,71.76,94,0,8.5,clear sky
251,251,Kaeo,NZ,2021-10-02 04:20:53,-35.1,173.7833,64.33,64,0,6.11,clear sky
253,253,Puerto Carreno,CO,2021-10-02 04:20:54,6.189,-67.4859,76.75,89,97,2.89,overcast clouds
257,257,Marawi,PH,2021-10-02 04:20:55,7.9986,124.2928,77.65,70,63,3.02,broken clouds
259,259,Sao Gabriel Da Cachoeira,BR,2021-10-02 04:20:56,-0.1303,-67.0892,73.09,97,99,1.01,overcast clouds
263,263,La Seyne-Sur-Mer,FR,2021-10-02 04:20:58,43.0982,5.8847,66.88,65,100,2.8,overcast clouds
266,266,Makakilo City,US,2021-10-02 04:21:00,21.3469,-158.0858,79.12,64,40,9.22,scattered clouds
268,268,Liwale,TZ,2021-10-02 04:21:01,-9.7667,37.9333,66.94,90,73,4.29,broken clouds
282,282,Alofi,NU,2021-10-02 04:21:08,-19.0595,-169.9187,76.89,78,76,17.27,broken clouds
283,283,Sitio Novo Do Tocantins,BR,2021-10-02 04:21:09,-5.5183,-47.4611,71.53,100,20,0.0,few clouds
287,287,Laguna,US,2021-10-02 04:12:40,38.421,-121.4238,76.08,42,1,3.44,clear sky
291,291,Conde,BR,2021-10-02 04:21:13,-7.2597,-34.9075,76.46,94,40,3.44,scattered clouds
292,292,Shakiso,ET,2021-10-02 04:21:14,5.75,38.9167,60.03,99,100,0.98,heavy intensity rain
293,293,Yenagoa,NG,2021-10-02 04:21:14,4.9247,6.2642,74.25,95,100,2.44,overcast clouds
294,294,Fortuna,US,2021-10-02 04:21:15,40.5982,-124.1573,62.19,72,90,0.0,overcast clouds
297,297,Caravelas,BR,2021-10-02 04:21:16,-17.7125,-39.2481,74.19,83,0,10.58,clear sky
298,298,Santo Domingo,DO,2021-10-02 04:21:16,18.5001,-69.9886,74.88,95,26,5.41,scattered clouds
302,302,Half Moon Bay,US,2021-10-02 04:21:18,37.4636,-122.4286,75.02,62,1,0.0,clear sky
303,303,Djougou,BJ,2021-10-02 04:21:18,9.7085,1.666,70.7,96,43,4.34,scattered clouds
304,304,Sola,VU,2021-10-02 04:21:19,-13.8833,167.55,77.32,88,100,19.26,moderate rain
305,305,Awbari,LY,2021-10-02 04:21:20,26.5921,12.7805,68.68,43,46,5.75,scattered clouds
308,308,Gogrial,SS,2021-10-02 04:21:21,8.5332,28.1004,71.94,86,88,4.88,overcast clouds
322,322,Imbituba,BR,2021-10-02 04:21:28,-28.24,-48.6703,69.69,95,100,8.1,overcast clouds
324,324,Broken Hill,AU,2021-10-02 04:21:29,-31.95,141.4333,72.61,29,8,10.67,clear sky
327,327,Odweyne,SO,2021-10-02 04:21:31,9.4092,45.064,74.14,62,73,13.35,broken clouds
329,329,Tukrah,LY,2021-10-02 04:21:32,32.5341,20.5791,70.12,65,0,12.35,clear sky
343,343,San Francisco,US,2021-10-02 04:14:20,37.7749,-122.4194,75.07,72,1,1.99,clear sky
346,346,Lukulu,ZM,2021-10-02 04:21:39,-14.3707,23.242,71.4,54,88,5.66,overcast clouds
347,347,Morro Bay,US,2021-10-02 04:21:29,35.3658,-120.8499,73.74,61,8,0.63,clear sky
348,348,Topeka,US,2021-10-02 04:21:40,39.0483,-95.678,67.73,92,1,0.0,clear sky
349,349,Souillac,MU,2021-10-02 04:21:41,-20.5167,57.5167,76.35,69,40,12.66,scattered clouds
350,350,Westport,US,2021-10-02 04:18:36,41.1415,-73.3579,60.76,82,1,3.0,clear sky
351,351,Savelugu,GH,2021-10-02 04:21:41,9.6244,-0.8253,76.12,87,100,4.21,overcast clouds
352,352,Kismayo,SO,2021-10-02 04:21:42,-0.3582,42.5454,77.43,79,100,14.61,overcast clouds
356,356,Bloomington,US,2021-10-02 04:21:44,44.8408,-93.2983,69.35,90,75,0.0,broken clouds
357,357,Touros,BR,2021-10-02 04:21:44,-5.1989,-35.4608,76.1,83,7,12.66,clear sky
367,367,Aksu,CN,2021-10-02 04:21:49,41.1231,80.2644,72.77,22,66,4.34,broken clouds
368,368,Samana,DO,2021-10-02 04:21:49,19.2056,-69.3369,76.6,85,87,3.74,overcast clouds
369,369,Luganville,VU,2021-10-02 04:21:50,-15.5333,167.1667,75.22,90,100,4.81,overcast clouds
375,375,Nacala,MZ,2021-10-02 04:21:53,-14.5428,40.6728,74.39,81,79,3.89,broken clouds
379,379,Zabol,AF,2021-10-02 04:21:55,32.25,67.25,70.23,26,21,7.76,few clouds
384,384,Kalabo,ZM,2021-10-02 04:21:58,-14.97,22.6814,70.7,55,75,2.71,broken clouds
389,389,Bilma,NE,2021-10-02 04:22:00,18.6853,12.9164,78.1,25,0,13.96,clear sky
392,392,Ciudad Guayana,VE,2021-10-02 04:22:02,8.3533,-62.6528,79.52,87,21,4.32,few clouds
395,395,Canelli,IT,2021-10-02 04:22:04,44.7215,8.2924,66.07,87,100,1.59,overcast clouds
396,396,Pacific Grove,US,2021-10-02 04:22:04,36.6177,-121.9166,71.76,89,1,1.01,clear sky
399,399,Ginir,ET,2021-10-02 04:22:06,7.1333,40.7,60.12,87,100,3.74,light rain
400,400,Bogande,BF,2021-10-02 04:22:06,12.9714,-0.1436,79.86,70,79,7.92,broken clouds
402,402,Sale,MA,2021-10-02 04:22:07,34.0389,-6.8166,66.22,100,75,0.0,fog
