,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,68.7,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Jasper,US,71.65,broken clouds,37.2001,-94.3502,Guest House Motel
6,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Richards Bay,ZA,67.82,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
15,Acapulco,MX,79.38,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
16,Mujiayingzi,CN,64.54,overcast clouds,42.1167,118.7833,Jinjiang Hotel
19,Busselton,AU,61.05,broken clouds,-33.65,115.3333,Observatory Guest House
20,Sao Filipe,CV,78.76,few clouds,14.8961,-24.4956,Hotel Xaguate
22,Ballina,AU,79.79,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
27,Ribeira Grande,PT,71.62,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
28,Falam,MM,71.01,broken clouds,22.9167,93.6833,Falang Government Guesthouse
33,Guerrero Negro,MX,71.98,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
34,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
35,Harper,LR,76.78,light rain,4.375,-7.7169,Screensaver
40,Perpignan,FR,63.01,clear sky,42.75,2.75,Le moulin a huile de l'agly
43,Port-Gentil,GA,77.43,overcast clouds,-0.7193,8.7815,Fengshui Residence
44,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Jalu,LY,67.59,clear sky,29.0331,21.5482,صاحبة الفخامة
49,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
50,Puerto Madryn,AR,60.8,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
52,Constantine,DZ,63.81,scattered clouds,36.365,6.6147,Grand Hotel Cirta
55,Muswellbrook,AU,76.33,broken clouds,-32.2667,150.9,Wayfarer Motel
61,Kutum,SD,73.06,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
68,Traverse City,US,66.61,clear sky,44.7631,-85.6206,Bayshore Resort
74,Mogadishu,SO,78.4,broken clouds,2.0371,45.3438,Hotel Juba
76,Goderich,CA,62.92,overcast clouds,43.7501,-81.7165,Harmony Inn
81,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
83,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
88,Mapiripan,CO,73.33,overcast clouds,2.8892,-72.1256,Monserrate
89,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
90,Vaitape,PF,79.11,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
91,Kaitangata,NZ,60.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
93,San-Pedro,CI,75.38,broken clouds,4.7485,-6.6363,Hotel Maria
97,Gamba,GA,74.5,overcast clouds,-2.65,10.0,NaN
98,Umred,IN,73.69,heavy intensity rain,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
101,Conceicao Da Barra,BR,73.08,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
102,Ariquemes,BR,76.35,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
106,Esperance,AU,61.03,scattered clouds,-33.8667,121.9,Hospitality Esperance
107,Atuona,PF,78.28,overcast clouds,-9.8,-139.0333,Villa Enata
109,Lagoa,PT,70.41,clear sky,39.05,-27.9833,Casa Das Faias
112,Callaway,US,73.33,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
115,Saint-Philippe,RE,74.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Farafangana,MG,71.04,clear sky,-22.8167,47.8333,Miarina
119,San Cristobal,VE,69.98,clear sky,7.7669,-72.225,Posada Villaven C.A.
122,Tonj,SS,70.93,overcast clouds,7.2737,28.6822,Lakan Hotel
127,Santa Fe,AR,61.02,clear sky,-31.6333,-60.7,Conquistador Hotel
128,Lompoc,US,65.1,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
135,Lucapa,AO,65.62,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
136,Cidreira,BR,60.21,scattered clouds,-30.1811,-50.2056,Hotel Castelo
137,Faanui,PF,79.12,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,San Patricio,US,78.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
142,Urucui,BR,74.91,scattered clouds,-7.2294,-44.5561,Hotel Premium Piauí
143,Havelock,US,69.93,few clouds,34.8791,-76.9013,Sherwood Motel
144,Utete,TZ,70.5,few clouds,-7.986,38.758,River View Lodge
145,East Millcreek,US,61.21,broken clouds,40.7,-111.8105,Hampton Inn & Suites Salt Lake City/University-Foothill Dr.
148,Rikitea,PF,73.2,few clouds,-23.1203,-134.9692,People ThankYou
149,Chilpancingo,MX,65.71,overcast clouds,17.55,-99.5,Relámpago Cartuchos Deportivos de Guerrero S.A. de C.V.
152,Seoul,KR,79.99,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
154,Trindade,BR,69.55,scattered clouds,-16.6494,-49.4889,Pousada Central
155,Hobart,AU,60.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
160,Bandrele,YT,74.95,clear sky,-12.9067,45.1914,Les Baobabs
162,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
163,Salinas,US,72.52,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
166,Carnarvon,AU,71.67,few clouds,-24.8667,113.6333,Hospitality Carnarvon
169,Hualmay,PE,62.15,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
171,New Richmond,US,69.26,broken clouds,45.123,-92.5366,Coratel Inn & Suites New Richmond
172,Bud,US,65.34,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
174,Malakal,SS,72.68,overcast clouds,9.5334,31.6605,Nile Palace Hotel
180,Vao,NC,71.06,light rain,-22.6667,167.4833,Hotel Kou-Bugny
182,Sechura,PE,63.77,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
192,Sao Joao Da Barra,BR,72.86,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
193,Zhuanghe,CN,67.8,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
195,Arraial Do Cabo,BR,69.64,light rain,-22.9661,-42.0278,Pousada Porto Praia
200,Martapura,ID,78.89,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
201,Faya,SA,63.12,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
202,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
206,Saint George,US,72.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
208,Beira,MZ,68.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
209,Santander Jimenez,MX,76.82,overcast clouds,24.2167,-98.4667,Papas inc
210,Ahipara,NZ,61.38,clear sky,-35.1667,173.1667,Ahipara Holiday Park
212,Murray Bridge,AU,73.44,few clouds,-35.1167,139.2667,Balcony On Sixth Lodge
213,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
220,Darnah,LY,70.86,few clouds,32.767,22.6367,فندق الفردوس
222,Colonelganj,IN,78.13,overcast clouds,27.1333,81.7,Bangil Setor
225,Contamana,PE,74.1,clear sky,-7.3333,-75.0167,Shiringal Touristic Park
236,Flinders,AU,66.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
237,San Luis,AR,63.1,clear sky,-33.295,-66.3356,Huarpes Hotel
243,Griffith,US,75.13,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
245,Triunfo,BR,66.15,broken clouds,-29.9433,-51.7181,Ilha das Pedras de Triunfo Hotel/RS
246,Nemuro,JP,64.83,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
248,Two Rivers,US,68.27,mist,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
249,Praia Da Vitoria,PT,71.76,clear sky,38.7333,-27.0667,Hotel Branco I
251,Kaeo,NZ,64.33,clear sky,-35.1,173.7833,Bushido Lodge
253,Puerto Carreno,CO,76.75,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
257,Marawi,PH,77.65,broken clouds,7.9986,124.2928,Derogongan Residence
259,Sao Gabriel Da Cachoeira,BR,73.09,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
263,La Seyne-Sur-Mer,FR,66.88,overcast clouds,43.0982,5.8847,La Frégate
266,Makakilo City,US,79.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
268,Liwale,TZ,66.94,broken clouds,-9.7667,37.9333,Samoma lodge
282,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
283,Sitio Novo Do Tocantins,BR,71.53,few clouds,-5.5183,-47.4611,Imperial Hotel
287,Laguna,US,76.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
291,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
292,Shakiso,ET,60.03,heavy intensity rain,5.75,38.9167,Bealu Girma Hottel
293,Yenagoa,NG,74.25,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
294,Fortuna,US,62.19,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
297,Caravelas,BR,74.19,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
298,Santo Domingo,DO,74.88,scattered clouds,18.5001,-69.9886,Cabañas City Heart
302,Half Moon Bay,US,75.02,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
303,Djougou,BJ,70.7,scattered clouds,9.7085,1.666,Hotel cathas
304,Sola,VU,77.32,moderate rain,-13.8833,167.55,Leumerus Bungalows
305,Awbari,LY,68.68,scattered clouds,26.5921,12.7805,فندق أوباري
308,Gogrial,SS,71.94,overcast clouds,8.5332,28.1004,NaN
322,Imbituba,BR,69.69,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
324,Broken Hill,AU,72.61,clear sky,-31.95,141.4333,Royal Exchange Hotel
327,Odweyne,SO,74.14,broken clouds,9.4092,45.064,Eng Hiirey House
329,Tukrah,LY,70.12,clear sky,32.5341,20.5791,Lagrota restaurant
343,San Francisco,US,75.07,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
346,Lukulu,ZM,71.4,overcast clouds,-14.3707,23.242,Ruth Guest House
347,Morro Bay,US,73.74,clear sky,35.3658,-120.8499,Inn at Morro Bay
348,Topeka,US,67.73,clear sky,39.0483,-95.678,Hotel Topeka At City Center
349,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
350,Westport,US,60.76,clear sky,41.1415,-73.3579,The Westport Inn
351,Savelugu,GH,76.12,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
352,Kismayo,SO,77.43,overcast clouds,-0.3582,42.5454,Agan-Hotel
356,Bloomington,US,69.35,broken clouds,44.8408,-93.2983,Comfort Inn MSP Airport - Mall Of America
357,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
367,Aksu,CN,72.77,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
368,Samana,DO,76.6,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
369,Luganville,VU,75.22,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
375,Nacala,MZ,74.39,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
379,Zabol,AF,70.23,few clouds,32.25,67.25,NaN
384,Kalabo,ZM,70.7,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
389,Bilma,NE,78.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
392,Ciudad Guayana,VE,79.52,few clouds,8.3533,-62.6528,Hotel Las Americas
395,Canelli,IT,66.07,overcast clouds,44.7215,8.2924,Residenza San Vito
396,Pacific Grove,US,71.76,clear sky,36.6177,-121.9166,Lovers Point Inn
399,Ginir,ET,60.12,light rain,7.1333,40.7,Sura Dare Village
400,Bogande,BF,79.86,broken clouds,12.9714,-0.1436,Auberge Wendkouni
402,Sale,MA,66.22,fog,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
404,Santa Isabel Do Rio Negro,BR,71.38,overcast clouds,-0.4139,-65.0192,Hotel GSA
409,Abidjan,CI,78.76,light rain,5.3094,-4.0197,ibis Abidjan Plateau
410,Omboue,GA,74.91,overcast clouds,-1.5746,9.2618,Hotel Olako
411,Isangel,VU,75.31,light rain,-19.55,169.2667,Tanna Lodge
413,Coari,BR,73.36,light rain,-4.085,-63.1414,HOTEL ALEX FLAT
414,Santiago Del Estero,AR,66.54,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
417,Ihosy,MG,62.91,scattered clouds,-22.4,46.1167,Tamana Hôtel
425,San Ramon,US,74.64,clear sky,37.7799,-121.978,San Ramon Marriott
432,Carauari,BR,74.34,overcast clouds,-4.8828,-66.8958,Hotel Fellip
434,Rundu,,63.1,clear sky,-17.9333,19.7667,Millennia Estate
437,Takoradi,GH,75.24,light rain,4.8845,-1.7554,Raybow International Hotel
439,San Lazaro,BZ,74.98,clear sky,18.0387,-88.6622,NaN
441,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
444,Tamiahua,MX,79.74,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
445,Nikki,BJ,71.65,broken clouds,9.9401,3.2108,Hotel John
447,Gat,IL,74.08,scattered clouds,31.61,34.7642,OlusHome
449,Tsogni,GA,73.85,overcast clouds,-2.7942,10.0988,NaN
451,Lanciano,IT,61.95,clear sky,42.2167,14.3882,Hotel Excelsior
453,Baoding,CN,70.05,overcast clouds,38.8511,115.4903,Xiu Lan Hotel
454,Tiznit,MA,75.83,clear sky,29.5833,-9.5,NaN
457,Madoc,CA,60.04,overcast clouds,44.5084,-77.4745,Motley Manor on Lilac Grove Hill
461,Coracao De Jesus,BR,77.72,broken clouds,-16.6853,-44.365,Hotel Neves
464,Lata,PT,62.92,overcast clouds,40.1629,-8.3327,Casa Maquia
466,Suluq,LY,67.17,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
467,Mayumba,GA,75.56,overcast clouds,-3.432,10.6554,LIKWALE LODGE
470,Qrendi,MT,73.06,broken clouds,35.8347,14.4583,M'Anglu
473,Surt,LY,72.72,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
