City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,2021-10-02 04:18:56,-54.8,-68.3,35.26,80,40,9.22,light rain
1,Vada,NL,2021-10-02 04:18:56,51.97,5.6667,57.09,95,75,9.22,mist
2,Puerto Ayora,EC,2021-10-02 04:18:57,-0.7393,-90.3518,68.7,93,71,6.89,broken clouds
3,Budogoshch,RU,2021-10-02 04:18:58,59.2816,32.4707,38.75,96,58,5.12,broken clouds
4,Cape Town,ZA,2021-10-02 04:18:10,-33.9258,18.4232,57.09,86,75,4.61,moderate rain
5,Jasper,US,2021-10-02 04:18:49,37.2001,-94.3502,71.65,87,75,5.75,broken clouds
6,Vaini,TO,2021-10-02 04:15:44,-21.2,-175.2,75.36,83,75,12.66,broken clouds
7,Mataura,NZ,2021-10-02 04:16:44,-46.1927,168.8643,59.49,69,100,6.35,overcast clouds
8,Marsh Harbour,BS,2021-10-02 04:18:59,26.5412,-77.0636,81.12,71,53,20.07,broken clouds
9,Mingguang,CN,2021-10-02 04:18:33,32.7802,117.9638,87.01,50,7,8.79,light rain
10,Jamestown,US,2021-10-02 04:05:37,42.097,-79.2353,58.71,94,1,3.44,clear sky
11,Magadan,RU,2021-10-02 04:19:00,59.5667,150.8,42.49,93,78,5.77,light rain
12,Chapais,CA,2021-10-02 04:17:45,49.7834,-74.8492,44.38,86,98,5.93,overcast clouds
13,Richards Bay,ZA,2021-10-02 04:19:01,-28.783,32.0377,67.82,92,100,4.29,light rain
14,Gaya,IN,2021-10-02 04:19:01,24.7833,85.0,80.51,89,75,9.22,mist
15,Acapulco,MX,2021-10-02 04:12:37,16.8634,-99.8901,79.38,84,87,3.42,overcast clouds
16,Mujiayingzi,CN,2021-10-02 04:19:02,42.1167,118.7833,64.54,50,100,13.91,overcast clouds
17,Pontianak,ID,2021-10-02 04:19:02,-0.0333,109.3333,87.78,55,20,12.66,few clouds
18,Bluff,NZ,2021-10-02 04:09:35,-46.6,168.3333,59.81,73,100,17.02,overcast clouds
