City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-09-23 05:15:06,62.456,-114.3525,46.92,100,90,6.91
1,Georgetown,MY,2021-09-23 05:15:34,5.4112,100.3354,89.55,55,20,8.05
2,Atuona,PF,2021-09-23 05:15:35,-9.8,-139.0333,77.59,81,14,19.13
3,Ribeira Grande,PT,2021-09-23 05:15:35,38.5167,-28.7,70.79,72,13,10.02
4,Sao Filipe,CV,2021-09-23 05:15:36,14.8961,-24.4956,78.53,78,37,8.99
5,Bakchar,RU,2021-09-23 05:15:36,57.0186,82.0711,38.5,75,81,5.37
6,Jamestown,US,2021-09-23 05:15:37,42.097,-79.2353,65.79,69,90,7.0
7,Albany,US,2021-09-23 05:15:37,42.6001,-73.9662,72.45,85,85,11.21
8,Bredasdorp,ZA,2021-09-23 05:15:38,-34.5322,20.0403,45.72,87,52,2.3
9,Aksu,CN,2021-09-23 05:15:38,41.1231,80.2644,76.77,22,10,9.75
10,Del Rio,US,2021-09-23 05:15:39,29.3627,-100.8968,70.43,45,1,0.0
11,Kapaa,US,2021-09-23 05:15:39,22.0752,-159.319,80.58,72,40,3.0
12,Vieux-Habitants,GP,2021-09-23 05:15:40,16.0589,-61.7659,76.57,78,14,7.56
13,Ushuaia,AR,2021-09-23 05:15:40,-54.8,-68.3,38.86,70,0,0.0
14,Taoudenni,ML,2021-09-23 05:15:40,22.6783,-3.9836,89.42,11,34,6.78
15,Mount Isa,AU,2021-09-23 05:15:41,-20.7333,139.5,82.17,9,0,11.5
16,Marystown,CA,2021-09-23 05:15:41,47.1666,-55.1483,57.85,93,79,12.17
17,Hilo,US,2021-09-23 05:12:34,19.7297,-155.09,78.28,82,20,3.44
18,Bluff,NZ,2021-09-23 05:15:42,-46.6,168.3333,57.79,77,94,14.0
19,Narni,IT,2021-09-23 05:15:42,42.5171,12.5231,62.74,77,24,3.31
20,Tongeren,BE,2021-09-23 05:15:43,50.7805,5.4648,53.44,90,0,9.22
21,Upernavik,GL,2021-09-23 05:12:44,72.7868,-56.1549,21.9,80,97,5.73
22,Port Alfred,ZA,2021-09-23 05:15:43,-33.5906,26.891,64.72,57,78,12.48
23,Hermanus,ZA,2021-09-23 05:15:44,-34.4187,19.2345,60.73,52,44,8.99
24,Flic En Flac,MU,2021-09-23 05:15:44,-20.2742,57.3631,74.52,66,13,10.27
25,Fonte Boa,BR,2021-09-23 05:15:44,-2.4959,-66.2662,72.63,99,100,2.15
26,Esperance,AU,2021-09-23 05:15:45,-33.8667,121.9,62.17,71,14,14.67
27,Ponta Do Sol,PT,2021-09-23 05:15:45,32.6667,-17.1,72.23,70,100,5.23
28,Dikson,RU,2021-09-23 05:15:46,73.5069,80.5464,35.83,77,100,4.23
29,Hasaki,JP,2021-09-23 05:15:46,35.7333,140.8333,88.2,81,11,7.07
30,Butaritari,KI,2021-09-23 05:15:47,3.0707,172.7902,83.05,68,44,13.09
31,Butembo,CD,2021-09-23 05:15:47,0.15,29.2833,59.4,90,100,2.84
32,Barrow,US,2021-09-23 05:15:48,71.2906,-156.7887,32.02,64,90,16.11
33,Rikitea,PF,2021-09-23 05:15:48,-23.1203,-134.9692,74.39,74,10,21.61
34,Cidreira,BR,2021-09-23 05:15:48,-30.1811,-50.2056,62.06,68,97,17.47
35,Taihe,CN,2021-09-23 05:15:49,30.8712,105.3845,81.39,75,84,5.32
36,Aklavik,CA,2021-09-23 05:15:49,68.2191,-135.0107,32.83,76,100,7.49
37,Busselton,AU,2021-09-23 05:15:50,-33.65,115.3333,64.09,66,50,15.3
38,Mataura,NZ,2021-09-23 05:15:50,-46.1927,168.8643,57.47,63,97,3.29
39,Hithadhoo,MV,2021-09-23 05:15:51,-0.6,73.0833,84.15,72,95,13.73
40,Beloha,MG,2021-09-23 05:15:51,-25.1667,45.05,69.08,73,99,12.73
41,Toledo,ES,2021-09-23 05:13:36,39.8333,-4.0,65.08,84,17,10.71
42,Kisanga,TZ,2021-09-23 05:15:52,-7.4362,37.7034,75.31,72,13,2.46
43,Barranca,PE,2021-09-23 05:15:52,-10.75,-77.7667,60.89,88,97,6.67
44,Kalabo,ZM,2021-09-23 05:15:53,-14.97,22.6814,69.94,34,40,8.9
45,Erdenet,MN,2021-09-23 05:15:53,49.0333,104.0833,48.0,59,17,5.48
46,Ponta Delgada,PT,2021-09-23 05:15:53,37.7333,-25.6667,66.92,77,20,8.05
47,Lebu,CL,2021-09-23 05:15:54,-37.6167,-73.65,46.85,86,43,5.66
48,Port Hawkesbury,CA,2021-09-23 05:15:54,45.6169,-61.3485,61.59,91,1,3.0
49,Aykhal,RU,2021-09-23 05:15:55,66.0,111.5,40.46,56,18,13.73
50,Madang,PG,2021-09-23 05:15:55,-5.2246,145.7966,79.32,86,88,8.48
51,Kodiak,US,2021-09-23 05:15:55,57.79,-152.4072,47.71,71,90,18.41
52,Hobart,AU,2021-09-23 05:13:07,-42.8794,147.3294,57.06,41,20,21.85
53,Saurimo,AO,2021-09-23 05:15:56,-9.6608,20.3916,62.62,25,100,3.51
54,Kavieng,PG,2021-09-23 05:15:56,-2.5744,150.7967,82.13,76,100,7.63
55,Carnarvon,AU,2021-09-23 05:11:07,-24.8667,113.6333,75.27,64,22,12.66
56,Plettenberg Bay,ZA,2021-09-23 05:15:57,-34.0527,23.3716,65.41,38,27,7.9
57,Cockburn Town,TC,2021-09-23 05:15:57,21.4612,-71.1419,82.22,78,91,9.06
58,Impfondo,CG,2021-09-23 05:15:58,1.6381,18.0667,69.39,98,100,2.8
59,Usinsk,RU,2021-09-23 05:15:58,65.9939,57.5281,39.34,71,2,5.64
60,Sao Joao Da Barra,BR,2021-09-23 05:15:59,-21.6403,-41.0511,64.85,62,17,12.48
61,Thompson,CA,2021-09-23 05:15:05,55.7435,-97.8558,54.34,63,100,2.19
62,Leningradskiy,RU,2021-09-23 05:16:00,69.3833,178.4167,26.35,74,100,1.57
63,Christchurch,NZ,2021-09-23 05:12:13,-43.5333,172.6333,58.91,80,20,1.99
64,Manta,EC,2021-09-23 05:16:01,-0.95,-80.7333,73.18,83,75,9.22
65,Bethel,US,2021-09-23 05:16:02,41.3712,-73.414,73.51,90,75,3.44
66,Yuxia,CN,2021-09-23 05:16:02,34.0615,108.6291,66.81,75,97,3.94
67,Qarqin,AF,2021-09-23 05:16:03,37.4185,66.0436,83.62,13,0,6.91
68,Mahebourg,MU,2021-09-23 05:16:03,-20.4081,57.7,74.25,68,40,14.97
69,Castro,BR,2021-09-23 05:16:04,-24.7911,-50.0119,46.36,93,97,10.33
70,Yerbogachen,RU,2021-09-23 05:16:04,61.2767,108.0108,48.56,46,35,7.99
71,Alihe,CN,2021-09-23 05:16:05,50.5667,123.7167,61.99,45,7,5.57
72,Sartana,UA,2021-09-23 05:16:05,47.1744,37.6927,53.53,64,100,2.06
73,Borova,UA,2021-09-23 05:16:05,50.1763,30.1043,45.34,94,100,7.07
74,Tasiilaq,GL,2021-09-23 05:16:06,65.6145,-37.6368,32.16,65,59,6.64
75,Victoria,HK,2021-09-23 05:16:06,22.2855,114.1577,87.85,84,88,1.99
76,Avarua,CK,2021-09-23 05:16:02,-21.2078,-159.775,71.65,60,20,8.05
77,La Ronge,CA,2021-09-23 05:16:07,55.1001,-105.2842,53.85,87,75,3.44
78,New Norfolk,AU,2021-09-23 05:16:07,-42.7826,147.0587,56.7,55,93,3.0
